"taxon.name","taxon.rank","identifications_count","created_at","observed_on","longitude","latitude","positional_accuracy","user.login","user.id","user.name","user.observations_count","user.identifications_count","user.activity_count","license_code","num_identification_agreements","uri","stateProvince","season"
"Carpobrotus edulis","species",2,"2023-06-05T15:08:19-03:00","2023-05-10",-55.8471087714,-34.7893872486,15,"intendencia_de_canelones",5779479,"Canelones Sustentable",425,3,428,"cc-by-nc",2,"https://www.inaturalist.org/observations/165758448","Canelones","otoño"
"Carpobrotus edulis","species",2,"2023-05-09T12:15:44-03:00","2023-05-09",-56.0722191242,-34.8980084476,4,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/160747945","Montevideo Department","otoño"
"Carpobrotus edulis","species",2,"2023-05-08T22:08:31-03:00","2023-05-07",-53.5372134671,-34.0330944987,127,"joan349",5400623,"Joan Pomies",52,0,52,,2,"https://www.inaturalist.org/observations/160665773","Rocha","otoño"
"Carpobrotus edulis","species",2,"2023-05-07T22:26:54-03:00","2023-05-07",-55.75315,-34.7644444444,,"ornitoloca",3322591,"Agustina Medina",1564,343,1907,"cc-by",2,"https://www.inaturalist.org/observations/160469238","Canelones","otoño"
"Carpobrotus edulis","species",3,"2023-05-06T13:52:43-03:00","2023-05-06",-56.1056964007,-34.8963221955,7,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",3,"https://www.inaturalist.org/observations/160107383","Montevideo","otoño"
"Carpobrotus edulis","species",3,"2023-05-06T13:52:05-03:00","2023-05-06",-56.1060467642,-34.8963020789,3,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",3,"https://www.inaturalist.org/observations/160107298","Montevideo","otoño"
"Carpobrotus edulis","species",1,"2023-04-29T21:04:27-03:00","2023-04-29",-55.8188194444,-34.7728527778,,"ornitoloca",3322591,"Agustina Medina",1564,343,1907,"cc-by",1,"https://www.inaturalist.org/observations/157858181","Canelones","otoño"
"Carpobrotus edulis","species",1,"2023-04-29T00:20:11-03:00","2023-04-27",-55.4069143161,-34.7664299838,36,"ornitoloca",3322591,"Agustina Medina",1564,343,1907,"cc-by",1,"https://www.inaturalist.org/observations/157424891","Maldonado","otoño"
"Carpobrotus edulis","species",1,"2023-04-25T14:01:46-03:00","2023-04-25",-54.9577083333,-34.9312383333,1,"enriquecenoz",5890577,"Enrique Cenoz",1338,384,1722,"cc-by-nc",1,"https://www.inaturalist.org/observations/156602647","Maldonado","otoño"
"Carpobrotus edulis","species",1,"2023-04-23T18:50:22-03:00","2023-04-23",-54.8697630689,-34.9205728637,134,"ornitoloca",3322591,"Agustina Medina",1564,343,1907,"cc-by",1,"https://www.inaturalist.org/observations/156316414","Maldonado","otoño"
"Carpobrotus edulis","species",1,"2023-04-23T18:49:41-03:00","2023-04-23",-54.8676330596,-34.9201874412,87,"ornitoloca",3322591,"Agustina Medina",1564,343,1907,"cc-by",1,"https://www.inaturalist.org/observations/156316292","Maldonado","otoño"
"Carpobrotus edulis","species",2,"2023-04-12T07:08:24-03:00","2023-04-06",-55.1504221667,-34.8795083333,6,"jennigon",4160471,,43,12,55,"cc-by-nc",2,"https://www.inaturalist.org/observations/154544864","Maldonado","otoño"
"Carpobrotus edulis","species",1,"2023-04-09T15:23:09-03:00","2023-04-09",-56.0348349531,-34.8823542148,8,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",1,"https://www.inaturalist.org/observations/154140599","Montevideo","otoño"
