id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,place_country_name,place_admin1_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name
13104767,2017/01/13 6:50 PM -02,2017-01-13,,Brasilia,749284,liuid,Liu Idárraga Orozco,2018-06-04 04:51:27 UTC,2023-02-20 16:24:41 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/13104767,https://inaturalist-open-data.s3.amazonaws.com/photos/19097858/medium.jpg,,"",Las suculentas,1,0,false,,"Rocha, Uruguay",-34.4065553831,-53.784919419,92,,,,92,,,false,,,Rocha,Uruguay,Rocha,sea fig,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
16641791,Mon Sep 17 2018 13:58:48 GMT-0300 (GMT-3),2018-09-17,2018-09-17 16:58:48 UTC,Brasilia,1048385,pabloreyesl,,2018-09-17 22:44:16 UTC,2023-01-17 21:11:36 UTC,research,,https://www.inaturalist.org/observations/16641791,https://static.inaturalist.org/photos/25086938/medium.jpg,,"",,2,0,false,3,"Sección 08, Sección 08, Canelones, UY",-34.7886666667,-55.3973966667,5,,,,5,,,false,,,Canelones,Uruguay,Canelones,sea fig,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
20543070,2019-02-20 8:57:00 a. m. GMT-03:00,2019-02-20,2019-02-20 11:57:00 UTC,Brasilia,1477134,joaco5,Joaquín Davila,2019-02-22 00:22:34 UTC,2020-02-24 15:05:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20543070,https://inaturalist-open-data.s3.amazonaws.com/photos/31712431/medium.jpg,,"",,1,0,false,2,"Rambla Costanera, 20303 Playa Verde, Departamento de Maldonado, Uruguay",-34.8302454938,-55.3152702749,263,,,,263,,,false,gps,gps,Maldonado,Uruguay,Maldonado,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
21523589,Mon Oct 22 2018 10:21:09 GMT-0300 (GMT-3),2018-10-22,2018-10-22 13:21:09 UTC,Brasilia,1467469,santiagomailhos,Santiago,2019-03-23 19:12:07 UTC,2022-02-07 04:34:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21523589,https://inaturalist-open-data.s3.amazonaws.com/photos/33308712/medium.jpg,,"",,2,0,false,3,"Carrasco Beach, Sección 10, Montevideo, UY",-34.887755,-56.0467805,5,,,,5,,,false,,,Montevideo,Uruguay,Montevideo,sea fig,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
21828802,Sat Aug 05 2017 12:34:57 GMT-0300 (GMT-3),2017-08-05,2017-08-05 15:34:57 UTC,Brasilia,1467469,santiagomailhos,Santiago,2019-03-31 15:51:27 UTC,2021-12-25 02:32:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21828802,https://inaturalist-open-data.s3.amazonaws.com/photos/33817515/medium.jpg,,"",,0,0,false,3,"Sección 10, Sección 10, Rocha, UY",-34.40498,-53.7773783333,5,,,,5,,,false,,,Rocha,Uruguay,Rocha,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
22345368,Thu Apr 11 2019 19:06:22 GMT-0300 (GMT-3),2019-04-11,2019-04-11 22:06:22 UTC,Brasilia,1467469,santiagomailhos,Santiago,2019-04-11 22:08:31 UTC,2022-02-01 03:41:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22345368,https://inaturalist-open-data.s3.amazonaws.com/photos/34608122/medium.jpg,,"",,1,0,false,3,"Montevideo, n.a354, UY",-34.8874817002,-56.0457041908,24,,,,24,,,false,,,Montevideo,Uruguay,Montevideo,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
35802532,2019/11/09 11:08 AM -0300,2019-11-09,2019-11-09 14:08:00 UTC,Brasilia,612949,diegoalmendras,Diego Almendras,2019-11-18 02:27:24 UTC,2020-02-11 13:49:38 UTC,research,,https://www.inaturalist.org/observations/35802532,https://static.inaturalist.org/photos/56498005/medium.jpg,,"",,1,0,false,,"Parque del Plata Sur, Parque del Plata, Departamento de Canelones, Uruguay",-34.768110437,-55.7159251927,168,,,,168,,,false,,,Canelones,Uruguay,Canelones,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
35802535,2019/11/09 11:08 AM -0300,2019-11-09,2019-11-09 14:08:00 UTC,Brasilia,612949,diegoalmendras,Diego Almendras,2019-11-18 02:27:27 UTC,2020-02-11 13:49:36 UTC,research,,https://www.inaturalist.org/observations/35802535,https://static.inaturalist.org/photos/56498030/medium.jpg,,"",,0,0,false,,"Parque del Plata Sur, Parque del Plata, Departamento de Canelones, Uruguay",-34.768110437,-55.7159251927,168,,,,168,,,false,,,Canelones,Uruguay,Canelones,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
35802536,2019/11/09 11:06 AM -0300,2019-11-09,2019-11-09 14:06:00 UTC,Brasilia,612949,diegoalmendras,Diego Almendras,2019-11-18 02:27:28 UTC,2020-02-11 13:49:36 UTC,research,,https://www.inaturalist.org/observations/35802536,https://static.inaturalist.org/photos/56498110/medium.jpg,,"",,1,0,false,,"Parque del Plata Sur, Parque del Plata, Departamento de Canelones, Uruguay",-34.768110437,-55.7159251927,168,,,,168,,,false,,,Canelones,Uruguay,Canelones,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
36586034,2019-12-12 9:21:40 AM GMT-03:00,2019-12-12,2019-12-12 12:21:40 UTC,Montevideo,2079928,rpereirag,Ramiro Pereira Garbero,2019-12-12 12:24:45 UTC,2022-01-06 12:41:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36586034,https://inaturalist-open-data.s3.amazonaws.com/photos/57901206/medium.jpeg,,"",,1,0,false,2,"Costa Bonita, Rocha, Uruguay",-34.7869567871,-54.5371780396,,,,,,,,false,gps,gps,Rocha,Uruguay,Rocha,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
36943848,Wed Dec 25 2019 15:42:41 GMT-0300 (GMT-3),2019-12-25,2019-12-25 18:42:41 UTC,Brasilia,2398513,gabriellaufer,Gabriel Laufer,2019-12-25 18:43:28 UTC,2021-12-14 11:05:39 UTC,research,CC0,https://www.inaturalist.org/observations/36943848,https://inaturalist-open-data.s3.amazonaws.com/photos/58481445/medium.jpg,,"",,0,0,false,3,"Rambla Doctor Claudio Williman, Maldonado, Maldonado, UY",-34.9313384994,-54.9576823162,16,,,,16,,,false,,,Maldonado,Uruguay,Maldonado,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
37172036,2020-01-01 6:36:55 PM GMT-03:00,2020-01-01,2020-01-01 21:36:55 UTC,Montevideo,2439287,lagunagarzon,Guardaparques Laguna Garzón,2020-01-01 22:19:16 UTC,2022-01-14 16:22:26 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/37172036,https://inaturalist-open-data.s3.amazonaws.com/photos/58884002/medium.jpeg,,"","",0,0,false,2,Area Protegida Laguna Garzon,-34.816532135,-54.6018104553,,,,,,,,false,gps,gps,Maldonado,Uruguay,Maldonado,planta de hielo,Carpobrotus edulis,Garra de León,Plantae,49322,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus
