observed_on,longitude,latitude,user.login,user.id,uri,stateProvince,season,reviewer,density,phenology,infrastructure
08/03/2023,-55045406,-34913556,matthiasf,255289,https://www.inaturalist.org/observations/152541633,Maldonado,verano,Flo,media,no evidence of flowering/fruiting,0
26/03/2023,-55860274,-34793925,ornitoloca,3322591,https://www.inaturalist.org/observations/152438876,Canelones,verano,Flo,alta,no evidence of flowering/fruiting,0
14/03/2023,-54969017,-34922263,mattzarrr,2595924,https://www.inaturalist.org/observations/151143893,Maldonado,verano,Flo,media,no evidence of flowering/fruiting,1
14/03/2023,-54968872,-3492236,mattzarrr,2595924,https://www.inaturalist.org/observations/151143845,Maldonado,verano,Flo,media,no evidence of flowering/fruiting,1
07/03/2023,-54973473,-34918743,mattzarrr,2595924,https://www.inaturalist.org/observations/150497307,Maldonado,verano,Flo,alta,no evidence of flowering/fruiting,1
07/03/2023,-54973383,-34918797,mattzarrr,2595924,https://www.inaturalist.org/observations/150497260,Maldonado,verano,Flo,media,no evidence of flowering/fruiting,1
04/03/2023,-55000801,-34909813,lurtri,2633413,https://www.inaturalist.org/observations/150245299,Maldonado,verano,Flo,alta,no evidence of flowering/fruiting,1
04/03/2023,-55000874,-34909977,lurtri,2633413,https://www.inaturalist.org/observations/150245186,Maldonado,verano,Flo,alta,no evidence of flowering/fruiting,1
04/03/2023,-55000682,-34910098,lurtri,2633413,https://www.inaturalist.org/observations/150245008,Maldonado,verano,Flo,alta,no evidence of flowering/fruiting,1
25/02/2023,-53549643,-34053733,gabriellaufer,2398513,https://www.inaturalist.org/observations/149666564,Rocha,verano,Flo,NA,no evidence of flowering/fruiting,NA
22/02/2023,-54973264,-34918666,lurtri,2633413,https://www.inaturalist.org/observations/149431100,Maldonado,verano,Flo,alta,no evidence of flowering/fruiting,1
20/02/2023,-54937186,-34957622,musalem,5284547,https://www.inaturalist.org/observations/149265269,Maldonado,verano,Flo,NA,no evidence of flowering/fruiting,NA
20/02/2023,-54938363,-34958429,gabriellaufer,2398513,https://www.inaturalist.org/observations/149239474,Maldonado,verano,Flo,media,no evidence of flowering/fruiting,1
19/02/2023,-54703358,-3485041,leila155,5503949,https://www.inaturalist.org/observations/149203139,Maldonado,verano,Flo,NA,flowering,NA
19/02/2023,-548401,-34910319,gabriellaufer,2398513,https://www.inaturalist.org/observations/149169295,Maldonado,verano,Flo,NA,no evidence of flowering/fruiting,NA
19/02/2023,-548403,-34909927,gabriellaufer,2398513,https://www.inaturalist.org/observations/149168987,Maldonado,verano,Flo,media,no evidence of flowering/fruiting,0
24/01/2023,-54633318,-34843551,mateo310,6221575,https://www.inaturalist.org/observations/148868594,Maldonado,verano,Flo,baja,no evidence of flowering/fruiting,1
15/02/2023,-5508002,-3487734,germanio,4324825,https://www.inaturalist.org/observations/148838888,Maldonado,verano,Flo,NA,no evidence of flowering/fruiting,NA
12/02/2023,-54976612,-3491733,mattzarrr,2595924,https://www.inaturalist.org/observations/148609917,Maldonado,verano,Flo,media,no evidence of flowering/fruiting,0
25/01/2023,-55114385,-34878187,laurillac,4959584,https://www.inaturalist.org/observations/147333000,Maldonado,verano,Flo,alta,flower budding,0
24/01/2023,-54976424,-34917362,mattzarrr,2595924,https://www.inaturalist.org/observations/147268384,Maldonado,verano,Flo,alta,fruiting,1
24/01/2023,-54976339,-34917351,mattzarrr,2595924,https://www.inaturalist.org/observations/147268334,Maldonado,verano,Flo,alta,fruiting,1
23/01/2023,-54844346,-34913194,leila155,5503949,https://www.inaturalist.org/observations/147245932,Maldonado,verano,Flo,NA,no evidence of flowering/fruiting,NA
22/01/2023,-55547599,-34788691,jennigon,4160471,https://www.inaturalist.org/observations/147122640,Canelones,verano,Flo,media,no evidence of flowering/fruiting,0
21/01/2023,-54966252,-34912996,mattzarrr,2595924,https://www.inaturalist.org/observations/146999721,Maldonado,verano,Flo,baja,no evidence of flowering/fruiting,1
21/01/2023,-54963202,-34912908,mattzarrr,2595924,https://www.inaturalist.org/observations/146999397,Maldonado,verano,Flo,baja,no evidence of flowering/fruiting,1
20/01/2023,-54966058,-34912565,mattzarrr,2595924,https://www.inaturalist.org/observations/146990683,Maldonado,verano,Flo,NA,no evidence of flowering/fruiting,NA
05/01/2023,-54634331,-34842166,gatorpig,3199887,https://www.inaturalist.org/observations/146931423,Maldonado,verano,Flo,media,no evidence of flowering/fruiting,0
18/01/2023,-55046275,-34914925,uruguayensis,6137073,https://www.inaturalist.org/observations/146885644,Maldonado,verano,Flo,alta,no evidence of flowering/fruiting,0
13/01/2023,-55015406,-34907333,pabloferbus,2710931,https://www.inaturalist.org/observations/146822047,Maldonado,verano,Flo,baja,no evidence of flowering/fruiting,1
15/01/2023,-54185545,-34656665,lurtri,2633413,https://www.inaturalist.org/observations/146650655,Rocha,verano,Flo,alta/media,no evidence of flowering/fruiting,0
15/01/2023,-5418891,-34656113,lurtri,2633413,https://www.inaturalist.org/observations/146650577,Rocha,verano,Flo,NA,no evidence of flowering/fruiting,NA
15/01/2023,-55274325,-3488847,gabriellaufer,2398513,https://www.inaturalist.org/observations/146642537,Maldonado,verano,Flo,alta,fruiting,1
15/01/2023,-55264655,-34891108,gabriellaufer,2398513,https://www.inaturalist.org/observations/146642317,Maldonado,verano,Flo,baja,no evidence of flowering/fruiting,0
15/01/2023,-55260583,-34893033,gabriellaufer,2398513,https://www.inaturalist.org/observations/146642176,Maldonado,verano,Flo,baja,no evidence of flowering/fruiting,1
15/01/2023,-5525802,-34895728,gabriellaufer,2398513,https://www.inaturalist.org/observations/146642045,Maldonado,verano,Flo,baja,no evidence of flowering/fruiting,1
15/01/2023,-55257712,-34896372,gabriellaufer,2398513,https://www.inaturalist.org/observations/146641979,Maldonado,verano,Flo,baja,no evidence of flowering/fruiting,1
15/01/2023,-55260093,-34903935,gabriellaufer,2398513,https://www.inaturalist.org/observations/146641645,Maldonado,verano,Flo,alta,flowering/flower budding,0
15/01/2023,-5525612,-34902153,gabriellaufer,2398513,https://www.inaturalist.org/observations/146641633,Maldonado,verano,Flo,alta,flower budding,0
15/01/2023,-55248663,-34899538,gabriellaufer,2398513,https://www.inaturalist.org/observations/146641095,Maldonado,verano,Flo,media,fruiting,1
15/01/2023,-55014458,-34909458,gabriellaufer,2398513,https://www.inaturalist.org/observations/146618601,Maldonado,verano,Flo,baja,no evidence of flowering/fruiting,1
15/01/2023,-54956192,-34932312,gabriellaufer,2398513,https://www.inaturalist.org/observations/146618570,Maldonado,verano,Flo,baja,no evidence of flowering/fruiting,1
15/01/2023,-54174866,-34663265,mattzarrr,2595924,https://www.inaturalist.org/observations/146617550,Rocha,verano,Flo,alta,no evidence of flowering/fruiting,1
15/01/2023,-54185777,-34656396,mattzarrr,2595924,https://www.inaturalist.org/observations/146607130,Rocha,verano,Flo,media,no evidence of flowering/fruiting,0
15/01/2023,-54189878,-34656269,mattzarrr,2595924,https://www.inaturalist.org/observations/146606806,Rocha,verano,Flo,alta,fruiting,1
15/01/2023,-54190517,-34655974,mattzarrr,2595924,https://www.inaturalist.org/observations/146606746,Rocha,verano,Mati,media ,fruiting,0
